run,protocol,n,delta_left,delta_right,probability_slope,response,contribution
primary,random_pauli,256,1,-1,0.00088928140846923588,0,0
primary,random_pauli,256,1,0,0.022249518523797404,-0.20000000000000018,-0.004449903704759485
primary,random_pauli,256,1,1,0.024019174936832657,-0.60000000000000009,-0.014411504962099596
primary,z_projective,32,-1,-1,-0.0087289907513436096,0.60000915541313804,-0.0052374743683227722
primary,z_projective,32,-1,0,-0.014697969274067336,0.4000061036087586,-0.0058792774202809294
primary,z_projective,32,-1,1,0.00013639786324067617,0,0
primary,z_projective,32,0,-1,-0.014255608190640782,0.4000061036087586,-0.0057023302869113248
primary,z_projective,32,0,0,0.00070214057664559366,0.2000030518043793,0.00014043025812480542
primary,z_projective,32,0,1,0.012634153613581198,-0.20000305180437952,-0.0025268692796815693
primary,z_projective,32,1,-1,-0.00038238484311152194,0,-0
primary,z_projective,32,1,0,0.011796329388645723,-0.20000305180437952,-0.0023593018778188353
primary,z_projective,32,1,1,0.012795931617050057,-0.60000915541313815,-0.0076776761222704755
primary,z_projective,64,-1,-1,-0.011729243985462309,0.60000000013969834,-0.0070375463929159415
primary,z_projective,64,-1,0,-0.017519689101871124,0.40000000009313219,-0.0070078756423800964
primary,z_projective,64,-1,1,0.001121353301962068,0,0
primary,z_projective,64,0,-1,-0.017623191655917976,0.40000000009313219,-0.0070492766640084768
primary,z_projective,64,0,0,-0.0054150268017176505,0.2000000000465661,-0.0010830053605956867
primary,z_projective,64,0,1,0.018395622683868646,-0.20000000004656632,-0.0036791245376303458
primary,z_projective,64,1,-1,0.00049860581241774815,0,0
primary,z_projective,64,1,0,0.016255719879484161,-0.20000000004656632,-0.0032511439766538014
primary,z_projective,64,1,1,0.016015849867236434,-0.60000000013969845,-0.0096095099225792496
primary,z_projective,128,-1,-1,-0.010998936991818538,0.59999999999999998,-0.0065993621950911222
primary,z_projective,128,-1,0,-0.021422230625777784,0.39999999999999991,-0.0085688922503111119
primary,z_projective,128,-1,1,0.00072344796332660783,0,0
primary,z_projective,128,0,-1,-0.02176550336863179,0.39999999999999991,-0.0087062013474527144
primary,z_projective,128,0,0,-0.0038503337837994794,0.19999999999999996,-0.00077006675675989566
primary,z_projective,128,0,1,0.01906449859178164,-0.20000000000000018,-0.0038128997183563313
primary,z_projective,128,1,-1,-0.0013343631187035046,0,-0
primary,z_projective,128,1,0,0.018467242982973128,-0.20000000000000018,-0.003693448596594629
primary,z_projective,128,1,1,0.02111617835064972,-0.60000000000000009,-0.012669707010389834
primary,z_projective,256,-1,-1,-0.014386753730707628,0.59999999999999998,-0.0086320522384245764
primary,z_projective,256,-1,0,-0.024194122054486747,0.39999999999999991,-0.009677648821794697
primary,z_projective,256,-1,1,-0.0013208657550206604,0,-0
primary,z_projective,256,0,-1,-0.023480009276313003,0.39999999999999991,-0.0093920037105251989
primary,z_projective,256,0,0,-0.0052250273239238306,0.19999999999999996,-0.0010450054647847659
primary,z_projective,256,0,1,0.021806907247083528,-0.20000000000000018,-0.0043613814494167097
primary,z_projective,256,1,-1,0.0007557827854206147,0,0
