run,protocol,n,p_low,p_high,beta_per_pair,rows,strata,ci_low,ci_high,interval_source
primary,random_pauli,32,0.20000000000000001,0.22,-0.030050321832407519,4671,18,-0.045942707819067799,-0.013817540504797599,archived table; not freshly resampled
replication,z_projective,32,0.23999999999999999,0.25,0.0025446055107985425,1716,14,-0.020578341286231101,0.0278324368767492,archived table; not freshly resampled
replication,z_projective,32,0.25,0.26000000000000001,-0.020257259429380076,1772,15,-0.0437386436476924,0.0038017124623458002,archived table; not freshly resampled
replication,z_projective,32,0.26000000000000001,0.27000000000000002,-0.00073944698651021623,1788,15,-0.0250193445091716,0.023639715506216599,archived table; not freshly resampled
replication,z_projective,32,0.27000000000000002,0.28000000000000003,-0.021393047767943676,1771,14,-0.048799357117954502,0.0034784405749267002,archived table; not freshly resampled
replication,z_projective,32,0.28000000000000003,0.29999999999999999,-0.02712786150815364,1739,12,-0.051901893424562202,-0.0030904472544851002,archived table; not freshly resampled
replication,z_projective,32,0.29999999999999999,0.34000000000000002,-0.065592256609292729,1716,10,-0.091926540074073401,-0.042330275224140901,archived table; not freshly resampled
replication,z_projective,64,0.20000000000000001,0.22,-0.068674159407634966,1555,15,-0.0980963657286993,-0.038768239847472803,archived table; not freshly resampled
replication,z_projective,64,0.22,0.23999999999999999,-0.049197155203014473,1602,15,-0.076114068344780697,-0.021783136955613,archived table; not freshly resampled
replication,z_projective,64,0.23999999999999999,0.25,-0.025739951712295345,1694,16,-0.051621618390572201,-0.00096703216093999998,archived table; not freshly resampled
replication,z_projective,64,0.25,0.26000000000000001,-0.0035638189542072066,1727,17,-0.0306700309463857,0.020234712334016601,archived table; not freshly resampled
replication,z_projective,64,0.26000000000000001,0.27000000000000002,-0.035044782240428188,1718,15,-0.061801387876503203,-0.0115196892521347,archived table; not freshly resampled
replication,z_projective,64,0.27000000000000002,0.28000000000000003,-0.0077245837545992175,1752,15,-0.0309580404161529,0.0138025162829543,archived table; not freshly resampled
replication,z_projective,64,0.28000000000000003,0.29999999999999999,-0.048470111204459286,1779,15,-0.0714001427970542,-0.024344346343162099,archived table; not freshly resampled
replication,z_projective,64,0.29999999999999999,0.34000000000000002,-0.054926362476947314,1755,12,-0.079048469136201893,-0.031995902879263398,archived table; not freshly resampled
replication,z_projective,128,0.20000000000000001,0.22,-0.073700021101029273,1209,14,-0.107144609217635,-0.039771252091235297,archived table; not freshly resampled
replication,z_projective,128,0.22,0.23999999999999999,-0.077329540129523394,1350,15,-0.1140521529908237,-0.044519302896081497,archived table; not freshly resampled
replication,z_projective,128,0.23999999999999999,0.25,-0.0073813191259612292,1650,18,-0.0340345119861774,0.021002605532338198,archived table; not freshly resampled
replication,z_projective,128,0.25,0.26000000000000001,-0.044957878094780697,1690,18,-0.071940996963252402,-0.016047248291515499,archived table; not freshly resampled
replication,z_projective,128,0.26000000000000001,0.27000000000000002,-0.032037354075667095,1656,15,-0.058518104374683397,-0.0049263704925172997,archived table; not freshly resampled
replication,z_projective,128,0.27000000000000002,0.28000000000000003,-0.022285864495002083,1710,16,-0.0497856242240085,0.0043574069840508003,archived table; not freshly resampled
replication,z_projective,128,0.28000000000000003,0.29999999999999999,-0.063545423844435442,1703,14,-0.088606755264377404,-0.037040998672945601,archived table; not freshly resampled
replication,z_projective,128,0.29999999999999999,0.34000000000000002,-0.050629312851180969,1637,10,-0.073456815025133404,-0.0224787042136032,archived table; not freshly resampled
replication,z_projective,256,0.20000000000000001,0.22,-0.087832713571068491,753,13,-0.13508945571034719,-0.045436970056072098,archived table; not freshly resampled
replication,z_projective,256,0.22,0.23999999999999999,-0.087904362710253578,675,11,-0.13511348712131599,-0.043195633654444399,archived table; not freshly resampled
replication,z_projective,256,0.23999999999999999,0.25,-0.02904329621768717,1506,19,-0.059701580734137998,0.0023584070430586,archived table; not freshly resampled
replication,z_projective,256,0.25,0.26000000000000001,-0.095212082127551487,1516,18,-0.1250294374293521,-0.062815104223641297,archived table; not freshly resampled
replication,z_projective,256,0.26000000000000001,0.27000000000000002,-0.039083586026682715,1653,18,-0.067053706015887699,-0.0091328587632624001,archived table; not freshly resampled
replication,z_projective,256,0.27000000000000002,0.28000000000000003,-0.032516297292985816,1693,17,-0.057234544618179201,-0.0060733863185304,archived table; not freshly resampled
replication,z_projective,256,0.28000000000000003,0.29999999999999999,-0.037162665122704316,1739,15,-0.060451417442964298,-0.0128599280723084,archived table; not freshly resampled
replication,z_projective,256,0.29999999999999999,0.34000000000000002,-0.057503190887402147,1725,12,-0.0832864358450916,-0.034203787470349703,archived table; not freshly resampled
